City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Bethel,US,77.77,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
362,Mayumba,GA,75.47,scattered clouds,-3.432,10.6554,LIKWALE LODGE
363,Vallenar,CL,76.14,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
369,Kalmunai,LK,82.35,overcast clouds,7.4167,81.8167,VS Villa
371,Praia Da Vitoria,PT,75.45,broken clouds,38.7333,-27.0667,Hotel Branco I
379,Kapit,MY,73.11,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
382,Carpentras,FR,80.83,clear sky,44.0833,5.1667,"Château de Mazan, Best Western Premier Collection"
385,Corn Island,NI,81.9,overcast clouds,12.1694,-83.0418,Big Fish Guest House
387,Portland,US,77.45,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
389,Najibabad,IN,82.44,scattered clouds,29.6333,78.3333,OYO 48552 Hotel Chandrayan
394,Ponta Delgada,PT,75.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
395,Stavyshche,UA,79.02,few clouds,50.4,29.5333,Автостанция
396,Port Blair,IN,81.99,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
397,Uvinza,TZ,73.69,scattered clouds,-5.1036,30.3911,Crown Lodge
400,Bazarnyye Mataki,RU,75.99,overcast clouds,54.8833,49.9333,Td Olimp
404,Sao Gabriel Da Cachoeira,BR,82.2,clear sky,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
405,Malanje,AO,77.32,clear sky,-9.5402,16.341,Malanje Hotel
407,Sturgeon Falls,CA,71.89,clear sky,46.3646,-79.9326,Lincoln Motel
408,Moerai,PF,74.73,overcast clouds,-22.4333,-151.3333,Le Manotel
413,Kununurra,AU,76.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
417,Jiangyou,CN,78.35,clear sky,31.7667,104.7167,Shangping Shuyuan Inn
419,Nan,TH,73.09,light rain,18.8333,100.6667,สะเนียน2
422,Mahuva,IN,81.54,overcast clouds,21.0914,71.7622,Hotel Blue Diamond.
423,Kalispell,US,70.18,mist,48.1958,-114.3129,Red Lion Hotel Kalispell
429,Arroyo Grande,US,74.82,clear sky,35.1186,-120.5907,Pismo View Inn
431,El Jicaro,GT,83.73,broken clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
434,Nishihara,JP,82.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
436,Mae Sai,TH,74.52,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
438,Granadilla De Abona,ES,73.98,few clouds,28.1188,-16.576,Hotel Rural Senderos De Abona
439,Kenscoff,HT,77.14,scattered clouds,18.4506,-72.2869,Auberzazage Sur La Montagne
440,Sao Filipe,CV,76.89,broken clouds,14.8961,-24.4956,Hotel Xaguate
451,Jesenice,SI,71.19,overcast clouds,46.4306,14.0669,Klub Zlata Ribica
453,Yining,CN,79.07,clear sky,29.0361,114.5636,Xiushui Hotel
456,Gigmoto,PH,81.12,overcast clouds,13.7796,124.39,Cj's Travellers Inn
457,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
459,Lewistown,US,77.25,scattered clouds,40.5992,-77.5714,Quality Inn & Suites
460,Calama,CL,72.09,scattered clouds,-22.4667,-68.9333,Diego De Almagro Calama
461,Sain Alto,MX,72.93,overcast clouds,23.5833,-103.25,Hotel Barraza
464,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
465,Fairview,US,79.23,scattered clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
469,Palmerston,AU,76.98,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
472,Kota,IN,76.1,heavy intensity rain,25.1833,75.8333,Hotel Tanishq
474,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
478,Sanandaj,IR,73.96,broken clouds,35.3144,46.9923,Sanandaj Tourist Hotel
479,Naze,JP,78.01,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
481,Benguela,AO,74.08,clear sky,-12.5763,13.4055,Hotel Praia Morena
482,Yanji,CN,71.92,moderate rain,42.9075,129.5078,Holiday Inn Changbaishan Suites
484,Voi,KE,71.38,broken clouds,-3.3945,38.563,Voi Wildlife Lodge
487,San Jose,US,73.02,few clouds,37.3394,-121.895,The Westin San Jose
488,Hobyo,SO,77.49,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
489,Amahai,ID,78.15,few clouds,-3.3333,128.9167,HOTEL ISABELA
490,Tolbazy,RU,75.96,scattered clouds,54.0241,55.8825,Business Centre
493,Brasilia,BR,78.62,clear sky,-15.7797,-47.9297,Grand Mercure Brasilia Eixo Monumental
495,Los Llanos De Aridane,ES,73.15,few clouds,28.6585,-17.9182,Valle Aridane
500,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
503,Hirado,JP,83.35,broken clouds,33.3597,129.5531,Samson Hotel
507,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
511,San Javier,ES,83.8,few clouds,37.8063,-0.8374,Hotel Mar Menor
513,Roma,US,74.12,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
517,San Ramon,US,72.03,few clouds,37.7799,-121.978,San Ramon Marriott
518,Texarkana,US,75.83,overcast clouds,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
520,Santa Cruz,BO,78.85,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
521,Shelburne,CA,71.85,clear sky,44.0787,-80.2041,The Retreat at the Farm
522,Plainview,US,79.63,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
523,Teguise,ES,75.42,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
524,Mahibadhoo,MV,82.96,overcast clouds,3.7833,72.9667,Omadhoo Inn
526,Payo,ID,73.24,overcast clouds,-3.7508,103.6372,Mess keban agung
527,Nador,MA,82.47,clear sky,35.174,-2.9287,Hôtel La Giralda
528,Riacho De Santana,BR,82.33,scattered clouds,-13.6092,-42.9389,Apartamento de Kaio.
529,Manhattan,US,79.63,scattered clouds,40.7834,-73.9662,The Excelsior Hotel
530,Sakaiminato,JP,78.78,few clouds,35.55,133.2333,味処・民宿 まつや
532,Cockburn Town,TC,82.09,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
535,Eyl,SO,79.11,overcast clouds,7.9803,49.8164,Amiin Hotel
