City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Lagoa,PT,39.05,-27.9833,72.55,86,0,7.09,clear sky
313,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,42,0,17.27,clear sky
314,Kavaratti,IN,10.5669,72.642,82.38,76,100,13.71,overcast clouds
315,Pemberton,CA,50.3164,-122.8027,84.2,63,59,3.15,broken clouds
316,Bubaque,GW,11.2833,-15.8333,78.19,86,100,21.45,moderate rain
317,Xining,CN,36.6167,101.7667,58.71,88,100,4.94,overcast clouds
318,Acton,GB,51.509,-0.2762,66.27,67,75,5.01,broken clouds
319,Tecpan,GT,14.7623,-90.9947,67.44,53,53,4.5,broken clouds
320,Kailua,US,21.4022,-157.7394,76.98,71,90,16.11,light rain
321,Hervey Bay,AU,-25.2986,152.8535,62.71,90,2,9.71,clear sky
322,Kurumkan,RU,54.3,110.3,58.91,67,9,2.44,clear sky
323,Mackenzie,CA,55.2999,-123.1698,64.62,88,20,3.44,mist
324,Chicama,PE,-7.8447,-79.1469,66.74,57,19,9.66,few clouds
325,Abaetetuba,BR,-1.7181,-48.8825,89.64,37,49,2.44,scattered clouds
326,Homnabad,IN,17.7667,77.1333,75.04,75,99,17.0,overcast clouds
327,Orje,NO,59.4802,11.6602,68.22,41,43,6.04,scattered clouds
328,Broken Hill,AU,-31.95,141.4333,44.31,81,0,12.66,clear sky
329,Codrington,AU,-38.2667,141.9667,45.27,94,100,10.29,overcast clouds
330,Dauphin,CA,51.1494,-100.0502,77.14,50,1,13.8,clear sky
331,Rosetown,CA,51.5501,-108.0014,86.99,24,87,3.44,overcast clouds
332,Natal,BR,-5.795,-35.2094,83.05,83,75,19.57,broken clouds
333,Margate,GB,51.3813,1.3862,65.32,66,69,1.99,broken clouds
334,Ilovlya,RU,49.3033,43.9796,90.7,34,44,10.38,scattered clouds
335,Verkhniye Kigi,RU,55.4083,58.6044,67.32,71,99,4.0,overcast clouds
336,Itoman,JP,26.1247,127.6694,82.78,92,75,16.11,broken clouds
337,Bandarbeyla,SO,9.4942,50.8122,78.21,76,22,33.51,few clouds
338,Quang Ngai,VN,15.1167,108.8,79.07,82,100,6.82,overcast clouds
339,Talaya,RU,61.3833,152.75,35.73,93,86,4.72,overcast clouds
340,Mitsamiouli,KM,-11.3847,43.2844,76.96,71,13,7.4,few clouds
341,Tagusao,PH,9.1924,117.8141,82.2,80,98,14.92,overcast clouds
342,Harper,LR,4.375,-7.7169,80.04,68,59,8.28,broken clouds
343,Casablanca,MA,33.5928,-7.6192,79.02,69,75,21.85,broken clouds
344,Muros,ES,42.7762,-9.0603,76.68,52,37,14.74,scattered clouds
345,Awbari,LY,26.5921,12.7805,101.7,6,0,8.3,clear sky
